аеропортів	аэропортов	0.854
аеропортом	аэропортом	0.899
аеропорту	аэропорту	0.875
аес	аэс	0.819
азербайджані	азербайджане	0.898
азербайджанський	азербайджанский	0.912
азербайджанської	азербайджанской	0.887
азербайджану	азербайджана	0.906
азіатів	азиатов	0.792
азії	азии	0.898
азійських	азиатских	0.769
азію	азию	0.906
азія	азия	0.897
азовського	азовского	0.895
азоту	азота	0.846
аймаку	аймака	0.782
академии	академик	0.737
академією	академией	0.861
академії	академии	0.920
академій	академий	0.938
академіка	академика	0.921
академік	академик	0.950
академіком	академиком	0.915
академічний	академический	0.826
академічних	академических	0.833
академічні	академические	0.765
академічного	академического	0.827
академічної	академической	0.740
академічному	академическом	0.740
академію	академию	0.927
академія	академия	0.942
акваторії	акватории	0.909
аквітанія	аквитания	0.841
акредитації	аккредитации	0.844
акти	акты	0.878
активації	активации	0.903
активи	активы	0.916
активів	активов	0.907
активіст	активист	0.928
активістами	активистами	0.903
активісти	активисты	0.889
активістів	активистов	0.899
активна	активная	0.821
активне	активное	0.785
активний	активный	0.897
активним	активным	0.891
активними	активные	0.734
активних	активных	0.811
активні	активные	0.812
активність	активность	0.916
активністю	активностью	0.819
активної	активной	0.893
активності	активности	0.915
активною	активной	0.828
активну	активную	0.845
акті	акте	0.766
актів	актов	0.877
актора	актёра	0.896
актор	актёр	0.887
акторами	актёрами	0.882
актори	актёры	0.840
акторів	актёров	0.840
акторка	актриса	0.781
акторки	актёра	0.726
акторкою	актёром	0.737
актором	актёром	0.883
акторський	актёрский	0.857
акторської	актёрской	0.813
акторську	актёрскую	0.791
актриси	актрисы	0.902
актрисою	актрисой	0.893
акту	акта	0.843
актуальних	актуальных	0.914
актуальні	актуальные	0.849
акули	акулы	0.860
акумуляторів	аккумуляторов	0.865
акустична	акустическая	0.745
акції	акции	0.902
акцій	акций	0.930
акціонерів	акционеров	0.885
акціонерне	акционерное	0.903
акціонерного	акционерного	0.934
акцію	акцию	0.915
акція	акция	0.915
акціях	акциях	0.919
алабамі	алабама	0.715
албанії	албании	0.883
албанія	албания	0.918
алгебри	алгебры	0.912
алгоритми	алгоритмы	0.927
алгоритмів	алгоритмов	0.921
алгоритму	алгоритма	0.905
але	даже	0.748
алеї	аллеи	0.776
александрії	александрии	0.871
алея	аллея	0.853
алжирі	алжире	0.882
алжиру	алжира	0.863
алі	али	0.911
аліса	алиса	0.893
алкоголю	алкоголя	0.887
алмазів	алмазов	0.847
алфавіт	алфавит	0.925
алфавіту	алфавита	0.870
альбоми	альбомы	0.915
альбомі	альбоме	0.887
альбомів	альбомов	0.915
альбому	альбома	0.902
альє	альп	0.678
альманаху	альманаха	0.863
альпи	альпы	0.841
альтернативи	альтернативы	0.844
альтернативна	альтернативная	0.883
альтернативний	альтернативный	0.912
альтернативних	альтернативных	0.920
альтернативні	альтернативные	0.890
альтернативної	альтернативной	0.906
альянсу	альянса	0.880
алюміній	алюминий	0.886
алюмінію	алюминия	0.848
амбулаторія	амбулатория	0.909
американець	американец	0.892
американська	американская	0.889
американське	американское	0.869
американський	американский	0.934
американським	американским	0.919
американськими	американскими	0.907
американських	американских	0.944
американські	американские	0.889
американській	американской	0.823
американського	американского	0.941
американської	американской	0.890
американському	американском	0.865
американською	американской	0.800
американську	американскую	0.862
американці	американцы	0.882
американців	американцев	0.879
америці	америке	0.847
аміаку	аммиака	0.805
амінокислот	аминокислот	0.902
амінокислоти	аминокислоты	0.890
амплітуда	амплитуда	0.921
амстердамі	амстердаме	0.900
аналіз	анализ	0.932
аналізі	анализе	0.858
аналізом	анализом	0.894
аналізу	анализа	0.875
аналізує	анализе	0.713
аналітичних	аналитических	0.825
аналітичні	аналитические	0.770
аналітичної	аналитической	0.812
аналогів	аналогов	0.883
аналогією	аналогии	0.821
аналогії	аналогии	0.807
аналогічна	аналогичная	0.884
аналогічним	аналогичным	0.880
аналогічних	аналогичных	0.889
аналогічні	аналогичные	0.869
аналогічно	аналогично	0.918
анастасія	анастасия	0.947
анатолії	анатолии	0.895
анатоліївна	анатольевна	0.870
анатолій	анатолий	0.951
анатолійович	анатольевич	0.843
анатолія	анатолия	0.951
анатомії	анатомии	0.911
анатомія	анатомия	0.880
англією	англией	0.888
англії	англии	0.910
англійська	английская	0.808
англійське	английское	0.806
англійський	английский	0.876
англійським	английским	0.859
англійськими	английскими	0.878
англійських	английских	0.926
англійські	английские	0.846
англійській	английской	0.768
англійського	английского	0.888
англійської	английской	0.829
англійському	английскому	0.798
англійською	английском	0.808
англійську	английскую	0.778
англійці	англичане	0.742
англійців	англичан	0.754
англія	англия	0.921
англомовних	англоязычных	0.773
анголи	анголы	0.871
андалусія	андалусия	0.806
андрієм	андреем	0.884
андріївка	андреевка	0.786
андріївна	андреевна	0.863
андрій	андрей	0.916
андрійовича	андреевича	0.846
андрійович	андреевич	0.850
андрію	андрею	0.865
андрія	андрея	0.911
анексії	аннексии	0.793
анімації	анимации	0.900
анімаційний	анимационный	0.803
ані	ни	0.721
анни	анны	0.877
анною	анной	0.838
аномалії	аномалии	0.901
анрі	анри	0.914
ансамблі	ансамбли	0.908
ансамблів	ансамблей	0.875
ансамблю	ансамбля	0.905
антанти	антанты	0.921
антарктиди	антарктиды	0.923
антарктиді	антарктиде	0.911
антена	антенна	0.883
антени	антенны	0.828
антична	античная	0.856
античних	античных	0.930
античні	античные	0.858
античної	античной	0.926
античності	античности	0.948
антін	антон	0.760
антіохії	антиохии	0.848
антології	антологии	0.910
антологія	антология	0.922
антоній	антоний	0.927
антоніна	антонина	0.918
антоніо	антонио	0.943
антонія	антония	0.921
антоновича	ивановича	0.709
антропології	антропологии	0.933
апарата	аппарата	0.819
апарат	аппарат	0.900
апарати	аппараты	0.858
апараті	аппарате	0.848
апаратів	аппаратов	0.859
апаратом	аппаратом	0.882
апарату	аппарата	0.844
апаратура	аппаратура	0.917
апаратури	аппаратуры	0.882
апостолів	апостолов	0.899
апостольської	апостольской	0.840
араби	арабы	0.900
арабів	арабов	0.886
арабська	арабская	0.809
арабський	арабский	0.886
арабських	арабских	0.908
арабські	арабские	0.828
арабського	арабского	0.898
арабської	арабской	0.852
арабською	арабском	0.828
аравії	аравии	0.889
аравія	аравия	0.910
арагонське	арагон	0.715
арагону	арагона	0.868
аранжування	аранжировки	0.693
арбітр	арбитр	0.905
аргентини	аргентины	0.919
аргентині	аргентине	0.915
аргентинський	аргентинский	0.896
аргентинського	аргентинского	0.916
аргументи	аргументы	0.882
аргументів	аргументов	0.902
арденни	арденны	0.799
ареалу	ареала	0.869
арени	арены	0.866
арені	арене	0.858
ареною	ареной	0.875
арешт	арест	0.867
арешти	аресты	0.827
арештований	арестован	0.813
арешту	ареста	0.811
аризоні	аризона	0.748
аристократів	аристократов	0.922
аристократії	аристократии	0.933
аркадій	аркадий	0.921
аркадія	аркадия	0.912
армією	армией	0.863
армії	армии	0.902
армій	армий	0.937
армійський	армейский	0.860
армійських	армейских	0.879
армійського	армейского	0.867
армійської	армейской	0.783
армію	армию	0.923
армія	армия	0.943
арміями	армиями	0.920
арсеналу	арсенала	0.867
арсеній	арсений	0.920
арср	асср	0.810
артема	артёма	0.838
артем	артём	0.823
артерії	артерии	0.888
артерій	артерий	0.921
артерія	артерии	0.788
артефакти	артефакты	0.922
артефактів	артефактов	0.916
артилерією	артиллерией	0.862
артилерії	артиллерии	0.882
артилерійська	артиллерийская	0.820
артилерійський	артиллерийский	0.863
артилерійських	артиллерийских	0.881
артилерійські	артиллерийские	0.826
артилерійського	артиллерийского	0.871
артилерійської	артиллерийской	0.859
артилерію	артиллерию	0.883
артилерія	артиллерия	0.889
артисти	артисты	0.927
артистів	артистов	0.914
артілі	артели	0.831
артіль	артель	0.851
археологів	археологов	0.914
археології	археологии	0.927
археологічна	археологическая	0.815
археологічний	археологический	0.839
археологічними	археологическим	0.790
археологічних	археологических	0.859
археологічні	археологические	0.819
археологічного	археологического	0.856
археологічної	археологической	0.823
археологія	археология	0.911
архів	архив	0.901
архівах	архивах	0.930
архіви	архивы	0.811
архіві	архиве	0.845
архівів	архивов	0.883
архівних	архивных	0.899
архівні	архивные	0.822
архівної	архивной	0.846
архіву	архива	0.863
архієпископа	архиепископа	0.950
архієпископ	архиепископ	0.924
архієпископом	архиепископом	0.914
архімандрита	архимандрита	0.927
архімандрит	архимандрит	0.937
архіпелаг	архипелаг	0.940
архіпелагу	архипелага	0.886
архіпелазі	архипелаге	0.828
архітектора	архитектора	0.958
архітектор	архитектор	0.948
архітектори	архитекторы	0.907
архітекторів	архитекторов	0.910
архітектором	архитектором	0.933
архітектура	архитектура	0.949
архітектури	архитектуры	0.926
архітектурі	архитектуре	0.892
архітектурна	архитектурная	0.903
архітектурний	архитектурный	0.927
архітектурних	архитектурных	0.932
архітектурні	архитектурные	0.897
архітектурного	архитектурного	0.963
архітектурної	архитектурной	0.915
архітектурному	архитектурном	0.887
архітектурою	архитектурой	0.888
архітектуру	архитектуру	0.932
асамблеї	ассамблеи	0.869
асамблея	ассамблея	0.912
асистента	ассистента	0.888
асистент	ассистент	0.884
асистентом	ассистентом	0.911
асортимент	ассортимент	0.887
асоціацією	ассоциацией	0.838
асоціації	ассоциации	0.830
асоціацій	ассоциаций	0.882
асоціацію	ассоциацию	0.838
асоціація	ассоциация	0.892
асоціюється	ассоциируется	0.734
аспекти	аспекты	0.910
аспекті	аспекте	0.882
аспектів	аспектов	0.906
аспірант	аспирант	0.924
аспірантів	аспирантов	0.875
аспірантури	аспирантуру	0.887
аспірантурі	аспирантуре	0.911
аспірантуру	аспирантуру	0.942
ассирії	ассирии	0.897
астероїд	астероид	0.812
астероїдів	астероидов	0.860
астронавти	астронавты	0.928
астронавтів	астронавтов	0.884
астрономи	астрономы	0.923
астрономії	астрономии	0.928
астрономічних	астрономических	0.856
астрономічного	астрономического	0.858
атакував	атакова	0.838
атакували	атаковали	0.901
атакувати	атаковать	0.851
атаці	атаки	0.783
аташе	атташе	0.879
атлантиці	атлантике	0.858
атлантичний	атлантический	0.833
атлантичні	атлантические	0.692
атлантичного	атлантического	0.856
атлантичному	атлантическом	0.798
атмосфери	атмосферы	0.942
атмосфері	атмосфере	0.897
атмосферних	атмосферных	0.924
атомами	атома	0.782
атоми	атомы	0.893
атомів	атомов	0.885
атомна	атомная	0.876
атомних	атомных	0.922
атомної	атомной	0.914
атрибути	атрибуты	0.919
атрибутів	атрибутов	0.888
аудиторії	аудитории	0.911
аудиторію	аудиторию	0.934
аудиторія	аудитория	0.939
аудіо	аудио	0.921
афанасій	афанасий	0.926
афганістан	афганистан	0.926
афганістані	афганистане	0.898
афганістану	афганистана	0.892
афін	афин	0.893
афінах	афинах	0.928
афіни	афины	0.864
афінського	афинского	0.880
африканський	африканский	0.914
африканських	африканских	0.909
африканського	африканского	0.915
африканської	африканской	0.848
африці	африке	0.837
афроамериканців	афроамериканцев	0.877
ацтеків	ацтеков	0.857
бабусі	бабушки	0.803
бабуся	бабушка	0.765
баварії	баварии	0.909
баварія	бавария	0.846
баварського	баварского	0.914
багата	богата	0.857
багате	богатое	0.784
багатий	богатый	0.809
багатим	богатым	0.828
багатими	богатыми	0.821
багатих	богатых	0.840
багаті	богатые	0.791
багатого	богатого	0.904
багатої	богатой	0.814
багатою	богатой	0.745
багатства	богатства	0.897
багатство	богатство	0.896
багатством	богатством	0.886
багату	богатую	0.810
бажає	желает	0.673
бажали	желали	0.721
бажано	важно	0.734
бажають	желают	0.691
базари	базар	0.743
бази	базы	0.798
базиліка	базилика	0.933
базиліки	базилики	0.934
базі	базе	0.779
базова	базовая	0.876
базовий	базовый	0.892
базовим	базовым	0.873
базових	базовых	0.907
базові	базовые	0.832
базової	базовой	0.893
базою	базой	0.870
базувався	базировался	0.745
базувалася	базировалась	0.766
базування	базирования	0.790
базується	базируется	0.797
базуються	базируются	0.779
бактерії	бактерии	0.897
бактерій	бактерий	0.907
балансі	балансе	0.865
балансу	баланса	0.876
балету	балета	0.894
бали	бал	0.748
балів	баллов	0.770
балками	балки	0.764
балотувався	баллотировался	0.780
балтійського	балтийского	0.907
балтійському	балтийском	0.848
балці	балке	0.729
банди	банды	0.895
бані	бани	0.756
банків	банков	0.904
банківських	банковских	0.868
банківського	банковского	0.872
банківської	банковской	0.812
банкноти	банкноты	0.911
банкрутства	банкротства	0.889
банку	банка	0.883
барабани	барабаны	0.894
баран	баранов	0.688
барельєф	барельеф	0.943
барі	баре	0.794
барні	барни	0.877
бароко	барокко	0.898
баронів	баронов	0.881
баррі	барри	0.903
барселони	барселоны	0.885
барселоні	барселоне	0.859
бас-гітара	бас-гитара	0.909
бас-гітарист	бас-гитарист	0.923
басейнах	бассейнов	0.747
басейн	бассейн	0.839
басейни	бассейн	0.751
басейні	бассейне	0.844
басейнів	бассейнов	0.827
басейну	бассейну	0.812
басків	басков	0.801
батальйон	батальон	0.893
батальйоні	батальоне	0.848
батальйоном	батальоном	0.887
батальйону	батальона	0.861
батареї	батареи	0.920
баттіста	баттиста	0.909
батька	брата	0.743
батьками	детьми	0.674
батьки	мать	0.672
батько	мать	0.705
батьком	братом	0.736
бачили	забыли	0.673
башкортостану	башкортостана	0.807
башта	башня	0.770
башт	башен	0.784
башти	башни	0.850
башті	башни	0.772
башту	башню	0.750
безкоштовний	бесплатный	0.706
безкоштовно	бесплатно	0.717
безпеки	безопасности	0.703
безперервний	непрерывный	0.761
безперервного	непрерывного	0.764
безперервно	непрерывно	0.767
безперечно	безусловно	0.697
безпечного	безопасного	0.813
безпосереднього	непосредственного	0.707
безпосередньо	непосредственно	0.712
безробітних	безработных	0.720
безробіття	безработицы	0.700
безсмертя	бессмертия	0.836
безсумнівно	безусловно	0.741
безумовно	безусловно	0.859
безуспішно	безуспешно	0.879
белграді	белграде	0.860
бельгії	бельгии	0.913
бельгійський	бельгийский	0.886
бельгійського	бельгийского	0.898
бельгійської	бельгийской	0.843
бельгія	бельгия	0.934
бенджамін	бенджамин	0.934
бензину	бензина	0.875
бере	берет	0.757
береги	берега	0.849
берегів	берегов	0.897
берегова	береговая	0.905
берегової	береговой	0.920
берегу	берега	0.859
береза	берёза	0.822
берези	берёзы	0.796
березі	берегу	0.760
березня	апреля	0.697
берестейської	брестской	0.695
береться	берётся	0.821
берклі	беркли	0.919
берліна	берлина	0.911
берлін	берлин	0.902
берліні	берлине	0.880
берлінський	берлинский	0.842
берлінського	берлинского	0.892
берлінської	берлинской	0.850
берлінському	берлинском	0.829
берліну	берлина	0.830
беррі	берри	0.905
беруть	берут	0.788
бесіди	беседы	0.842
бессарабії	бессарабии	0.880
бетону	бетона	0.880
бика	быка	0.870
бик	бык	0.825
битви	битвы	0.902
битві	битве	0.893
битвою	битвой	0.898
бити	бить	0.835
біатлону	биатлону	0.893
бі-бі-сі	би-би-си	0.867
біблії	библии	0.881
біблійних	библейских	0.811
бібліограф	библиограф	0.891
бібліографії	библиографии	0.894
бібліографічний	библиографический	0.749
бібліографія	библиография	0.880
бібліогр	библиогр	0.785
бібліотека	библиотека	0.947
бібліотекарем	библиотекарем	0.906
бібліотеках	библиотеках	0.915
бібліотек	библиотек	0.925
бібліотеки	библиотеки	0.941
бібліотекою	библиотекой	0.889
бібліотеку	библиотеку	0.926
бібліотеці	библиотеке	0.830
бібліотечний	библиотеки	0.722
бібліотечних	библиотек	0.757
бібліотечної	библиотеки	0.711
біблія	библия	0.883
біг	бег	0.784
бігу	бегу	0.795
бідним	бедным	0.828
бідних	бедных	0.845
бідні	бедные	0.756
бідність	бедность	0.844
бідності	бедности	0.817
біженців	беженцев	0.881
біжить	бежит	0.763
бізнес	бизнес	0.939
бізнесі	бизнесе	0.863
бізнесмен	бизнесмен	0.949
бізнесом	бизнесом	0.928
бізнесу	бизнеса	0.883
бій	бой	0.827
бійки	драки	0.698
бійці	бойцы	0.786
бійців	бойцов	0.815
бійця	бойца	0.742
бійцями	бойцами	0.799
біла	белая	0.769
біле	белое	0.779
білий	белый	0.822
білим	белым	0.821
білими	белыми	0.831
білих	белых	0.818
білі	белые	0.725
білій	белой	0.702
білка	белка	0.839
білками	белками	0.873
білки	белки	0.862
білків	белков	0.804
білла	билла	0.919
біллі	билли	0.911
білого	белого	0.894
білої	белой	0.811
білок	белок	0.852
білому	белом	0.789
білорусі	белоруссии	0.787
білорусів	белорусов	0.861
білорусь	беларусь	0.792
білоруська	белорусская	0.787
білоруський	белорусский	0.840
білоруських	белорусских	0.861
білоруській	белорусской	0.749
білоруського	белорусского	0.871
білоруської	белорусской	0.809
білоруському	белорусском	0.797
білоруською	белорусской	0.713
білоус	белоусов	0.714
білою	белой	0.750
білу	белую	0.769
більбао	бильбао	0.861
біль	боль	0.799
більша	большая	0.762
більш	больше	0.739
більше	больше	0.850
більший	больший	0.864
більшим	большим	0.778
більшими	большими	0.811
більших	больших	0.854
більші	больше	0.735
більшій	большей	0.773
більшість	большинство	0.727
більш-менш	более-менее	0.706
більшовиками	большевиками	0.848
більшовики	большевики	0.850
більшовиків	большевиков	0.825
більшовицького	большевиков	0.709
більшовицької	большевиков	0.754
більшого	большего	0.809
більшої	большей	0.735
більшості	большинства	0.751
більшою	большей	0.736
більшу	большую	0.794
бін	бин	0.891
біобібліографічний	биобиблиографический	0.716
біографії	биографии	0.857
біографічна	биографическая	0.719
біографічний	биографический	0.740
біографічні	биография	0.711
біографію	биографию	0.916
біографія	биография	0.871
біолог	биолог	0.935
біології	биологии	0.891
біологічна	биологическая	0.771
біологічний	биологический	0.775
біологічних	биологических	0.832
біологічні	биологические	0.775
біологічно	биологически	0.743
біологічного	биологического	0.819
біологічної	биологической	0.772
біологія	биология	0.868
біохімії	биохимии	0.865
біржа	биржа	0.909
біржі	биржи	0.883
бісмарка	бисмарка	0.912
біт	бит	0.882
бітів	битов	0.788
благовіщення	благовещения	0.867
благодійна	благотворительная	0.693
благодійний	благотворительный	0.709
благодійних	благотворительных	0.710
благодійні	благотворительные	0.677
благодійного	благотворительного	0.730
благодійної	благотворительной	0.684
благополуччя	благополучия	0.880
благословення	благословения	0.908
благоустрою	благоустройства	0.793
блакитний	синий	0.675
блакитного	синего	0.680
блек	блэр	0.697
ближнього	ближнего	0.776
ближче	ближе	0.820
близька	близка	0.841
близьке	близкое	0.712
близький	близкий	0.819
близьким	близким	0.876
близькими	близкими	0.876
близьких	близких	0.891
близькі	близки	0.824
близькість	близость	0.813
близького	ближнего	0.723
близькості	близости	0.812
близькою	близкой	0.759
блиск	блеск	0.793
блиску	блеска	0.750
блискучий	блестящий	0.716
блокади	блокады	0.885
блоків	блоков	0.890
блоку	блока	0.861
блоці	блоке	0.764
блюзу	блюза	0.829
боббі	бобби	0.927
богемії	богемии	0.891
богині	богини	0.943
богів	богов	0.889
богові	богов	0.758
богоматері	богоматери	0.938
богородиці	богородицы	0.919
богослужіння	богослужения	0.892
боєкомплект	боекомплект	0.932
боєм	боем	0.933
боєприпаси	боеприпасы	0.914
боєприпасів	боеприпасов	0.911
боєць	боец	0.851
божа	бога	0.747
божого	божьего	0.828
божої	божией	0.744
бої	бои	0.898
боїв	боев	0.855
боїться	боится	0.851
бойова	боевая	0.755
бойове	боевое	0.749
бойовий	боевой	0.741
бойовик	боевик	0.813
бойовики	боевики	0.833
бойовиків	боевиков	0.810
бойовим	боевым	0.748
бойовими	боевыми	0.768
бойових	боевых	0.792
бойові	боевые	0.709
бойовій	боевой	0.721
бойового	боевого	0.845
бойової	боевой	0.775
бойовому	боевом	0.768
бойову	боевую	0.740
боках	бокам	0.821
боки	бокам	0.707
боків	бокам	0.730
бокових	боковых	0.890
бокові	боковые	0.812
боксер	боксёр	0.849
болгари	болгары	0.890
болгарії	болгарии	0.876
болгарська	болгарская	0.784
болгарське	болгарское	0.803
болгарський	болгарский	0.880
болгарських	болгарских	0.905
болгарського	болгарского	0.909
болгарської	болгарской	0.860
болі	боли	0.878
болівії	боливии	0.864
болівія	боливия	0.886
боліт	болот	0.867
болоньї	болонье	0.862
болю	боли	0.830
бомбардирів	бомбардиров	0.884
бомбардувальника	бомбардировщика	0.765
бомбардувальник	бомбардировщик	0.758
бомбардувальники	бомбардировщики	0.787
бомбардувальників	бомбардировщиков	0.770
бомбардування	бомбардировки	0.745
бомбардувань	бомбардировок	0.736
бондар	бондаренко	0.687
бонні	бонни	0.789
борг	долг	0.731
борги	долги	0.796
боргів	долгов	0.695
бореться	борется	0.864
борець	борец	0.826
боровся	боролся	0.814
боролися	боролись	0.851
боротися	бороться	0.886
боротьба	борьба	0.843
боротьби	борьбы	0.778
боротьбі	борьбе	0.795
боротьбу	борьбу	0.838
борошна	порошка	0.733
бортовий	бортовой	0.875
бору	бора	0.716
борців	борцов	0.808
боснії	боснии	0.888
боснія	босния	0.911
бостоні	бостоне	0.884
ботаніка	ботаника	0.910
ботанік	ботаник	0.929
ботаніки	ботаники	0.938
ботанічний	ботанический	0.795
ботанічних	ботанических	0.778
ботанічного	ботанического	0.824
ботанічному	ботаническом	0.761
бразилії	бразилии	0.896
бразилія	бразилия	0.920
бразильський	бразильский	0.851
бразильського	бразильского	0.897
братами	братьями	0.815
брати	брать	0.743
братів	братьев	0.840
братові	брату	0.736
братська	братская	0.805
братській	братской	0.805
браян	браун	0.809
бредлі	брэдли	0.853
брендів	брендов	0.886
бренду	бренда	0.862
бретані	бретани	0.899
бригади	бригады	0.900
бригаді	бригаде	0.863
бригадою	бригадой	0.878
британією	британия	0.751
британії	британии	0.881
британію	британию	0.909
британія	британия	0.889
британська	британская	0.863
британське	британское	0.852
британський	британский	0.927
британським	британским	0.919
британськими	британскими	0.910
британських	британских	0.941
британській	британской	0.818
британського	британского	0.927
британської	британской	0.894
британському	британском	0.866
британською	британской	0.810
британці	британцы	0.892
британців	британцев	0.917
броди	гродно	0.672
бродіння	брожения	0.780
бронетехніки	бронетехники	0.933
бронзи	бронзы	0.896
бронзова	бронзовая	0.895
бронзовий	бронзовый	0.907
бронзовим	бронзовым	0.906
бронзових	бронзовых	0.931
бронзові	бронзовые	0.875
бронзової	бронзовой	0.810
бронзову	бронзовую	0.882
броні	брони	0.904
бронювання	бронирования	0.744
брошур	брошюр	0.880
брюсселі	брюсселе	0.894
брянської	брянской	0.810
бував	быва	0.767
буває	бывает	0.806
бували	бывали	0.848
бувають	бывают	0.821
був	бы	0.699
бувши	будучи	0.683
бугу	буга	0.799
будапешті	будапеште	0.885
будди	будды	0.904
буддизму	буддизма	0.902
буде	будет	0.872
будемо	будем	0.873
будинками	домами	0.702
будівельна	строительная	0.681
